Series Name,Series Code,Time,Time Code,China [CHN],Germany [DEU],India [IND],South Africa [ZAF],Qatar [QAT],Saudi Arabia [SAU],Ukraine [UKR]
"Population, total",SP.POP.TOTL,1960,YR1960,667070000,72814900,445954579,16520441,36385,4165563,42767251
"Population, total",SP.POP.TOTL,1961,YR1961,660330000,73377632,456351876,16989464,40111,4306048,43365219
"Population, total",SP.POP.TOTL,1962,YR1962,665770000,74025784,467024193,17503133,45123,4458516,43924755
"Population, total",SP.POP.TOTL,1963,YR1963,682335000,74714353,477933619,18042215,50950,4621655,44445903
"Population, total",SP.POP.TOTL,1964,YR1964,698355000,75318337,489059309,18603097,57531,4795130,44941406
"Population, total",SP.POP.TOTL,1965,YR1965,715185000,75963695,500114346,19187194,64843,4978922,45387091
"Population, total",SP.POP.TOTL,1966,YR1966,735400000,76600311,510992617,19789771,73102,5173237,45809120
"Population, total",SP.POP.TOTL,1967,YR1967,754550000,76951336,521987069,20410677,82517,5381026,46235370
"Population, total",SP.POP.TOTL,1968,YR1968,774510000,77294314,533431909,21050540,93022,5604582,46635196
"Population, total",SP.POP.TOTL,1969,YR1969,796025000,77909682,545314670,21704214,104517,5844843,46990889
"Population, total",SP.POP.TOTL,1970,YR1970,818315000,78169289,557501301,22368306,118007,6106191,47279086
"Population, total",SP.POP.TOTL,1971,YR1971,841105000,78312842,569999178,23031441,133096,6396658,47597756
"Population, total",SP.POP.TOTL,1972,YR1972,862030000,78688452,582837973,23698507,148338,6724260,47974187
"Population, total",SP.POP.TOTL,1973,YR1973,881940000,78936666,596107483,24382513,163734,7088758,48301548
"Population, total",SP.POP.TOTL,1974,YR1974,900350000,78967433,609721951,25077016,179299,7483506,48602694
"Population, total",SP.POP.TOTL,1975,YR1975,916395000,78673554,623524219,25777964,195043,7897544,48892187
"Population, total",SP.POP.TOTL,1976,YR1976,930685000,78336950,637451448,26480300,210990,8319556,49144535
"Population, total",SP.POP.TOTL,1977,YR1977,943455000,78159814,651685628,27199838,227177,8755219,49357430
"Population, total",SP.POP.TOTL,1978,YR1978,956165000,78091820,666267760,27943445,243624,9210564,49536615
"Population, total",SP.POP.TOTL,1979,YR1979,969005000,78126350,681248383,28697014,260368,9682002,49739734
"Population, total",SP.POP.TOTL,1980,YR1980,981235000,78288576,696828385,29463549,277450,10171710,49973920
"Population, total",SP.POP.TOTL,1981,YR1981,993885000,78407907,712869298,30232561,294887,10678211,50221000
"Population, total",SP.POP.TOTL,1982,YR1982,1008630000,78333366,729169466,31022417,312608,11201154,50384000
"Population, total",SP.POP.TOTL,1983,YR1983,1023310000,78128282,745826546,31865176,330454,11746020,50564000
"Population, total",SP.POP.TOTL,1984,YR1984,1036825000,77858685,762895156,32768207,348241,12310361,50754000
"Population, total",SP.POP.TOTL,1985,YR1985,1051040000,77684873,780242084,33752964,365868,12890245,50917000
"Population, total",SP.POP.TOTL,1986,YR1986,1066790000,77720436,797878993,34877834,382328,13483349,51097000
"Population, total",SP.POP.TOTL,1987,YR1987,1084035000,77839920,815716125,36119333,397391,14089798,51293000
"Population, total",SP.POP.TOTL,1988,YR1988,1101630000,78144619,833729681,37393853,412142,14713715,51521000
"Population, total",SP.POP.TOTL,1989,YR1989,1118650000,78751283,852012673,38668684,426896,15353227,51773000
"Population, total",SP.POP.TOTL,1990,YR1990,1135185000,79433029,870452165,39877570,441675,16004763,51891400
"Population, total",SP.POP.TOTL,1991,YR1991,1150780000,80013896,888941756,40910959,456486,16654276,52000500
"Population, total",SP.POP.TOTL,1992,YR1992,1164970000,80624598,907574049,41760755,471293,17281350,52150400
"Population, total",SP.POP.TOTL,1993,YR1993,1178440000,81156363,926351297,42525440,486041,17846461,52179200
"Population, total",SP.POP.TOTL,1994,YR1994,1191835000,81438348,945261958,43267982,500683,18367528,51921400
"Population, total",SP.POP.TOTL,1995,YR1995,1204855000,81678051,964279129,43986084,515133,18888857,51512800
"Population, total",SP.POP.TOTL,1996,YR1996,1217550000,81914831,983281218,44661603,529265,19410280,51057800
"Population, total",SP.POP.TOTL,1997,YR1997,1230075000,82034771,1002335230,45285048,550591,19938377,50594600
"Population, total",SP.POP.TOTL,1998,YR1998,1241935000,82047195,1021434576,45852166,580997,20472580,50144500
"Population, total",SP.POP.TOTL,1999,YR1999,1252735000,82100243,1040500054,46364681,613302,21009660,49674000
"Population, total",SP.POP.TOTL,2000,YR2000,1262645000,82211508,1059633675,46813266,645937,21547390,49176500
